 Computed angles file for PUMA motor control
 bon72.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.031628	0.063922	0.102744	0.135039	0.166669	0.198294	0.230586
0.031658	0.063844	0.102850	0.134922	0.166811	0.198156	0.230767
0.031678	0.063767	0.102947	0.134797	0.166956	0.198014	0.230942
0.031731	0.063725	0.103039	0.134683	0.167094	0.197872	0.231147
0.031758	0.063653	0.103144	0.134564	0.167233	0.197728	0.231322
0.031789	0.063578	0.103253	0.134450	0.167375	0.197581	0.231497
0.031819	0.063497	0.103358	0.134331	0.167517	0.197433	0.231669
0.031850	0.063417	0.103469	0.134214	0.167653	0.197289	0.231842
0.031878	0.063336	0.103581	0.134094	0.167794	0.197142	0.232017
0.031906	0.063250	0.103692	0.133978	0.167931	0.196994	0.232183
0.031933	0.063167	0.103808	0.133858	0.168069	0.196847	0.232350
0.031964	0.063075	0.103922	0.133736	0.168206	0.196703	0.232514
0.031992	0.062981	0.104044	0.133617	0.168344	0.196556	0.232672
0.032017	0.062881	0.104164	0.133503	0.168481	0.196406	0.232831
0.032042	0.062783	0.104289	0.133383	0.168614	0.196258	0.232994
0.032067	0.062689	0.104408	0.133261	0.168744	0.196103	0.233150
0.032094	0.062578	0.104533	0.133139	0.168886	0.195964	0.233303
0.032117	0.062469	0.104661	0.133022	0.169017	0.195811	0.233456
0.032142	0.062358	0.104792	0.132900	0.169142	0.195656	0.233603
0.032178	0.062236	0.104942	0.132761	0.169214	0.195478	0.233747
0.032178	0.062153	0.105047	0.132672	0.169425	0.195364	0.233917
0.032183	0.062064	0.105203	0.132558	0.169572	0.195214	0.234056
0.032247	0.061814	0.105417	0.132414	0.169703	0.195108	0.234119
0.032264	0.061686	0.105561	0.132300	0.169836	0.194958	0.234256
0.032278	0.061553	0.105711	0.132183	0.169964	0.194808	0.234392
0.032289	0.061433	0.105869	0.132061	0.170083	0.194644	0.234522
0.032328	0.061283	0.106003	0.131953	0.170217	0.194492	0.234658
0.032411	0.061122	0.106147	0.131844	0.170286	0.194286	0.234778
0.032189	0.061106	0.106219	0.131858	0.170458	0.194047	0.235031
0.032178	0.060969	0.106372	0.131778	0.170606	0.193908	0.235194
0.032283	0.060731	0.106628	0.131581	0.170742	0.193833	0.235208
0.032283	0.060572	0.106783	0.131464	0.170878	0.193678	0.235322
0.032286	0.060403	0.106936	0.131350	0.171011	0.193514	0.235433
0.032278	0.060264	0.107125	0.131269	0.171136	0.193369	0.235583
0.032281	0.060117	0.107289	0.131161	0.171269	0.193222	0.235714
0.032286	0.059953	0.107456	0.131056	0.171392	0.193067	0.235839
0.032278	0.059800	0.107625	0.130958	0.171519	0.192908	0.235969
0.032258	0.059636	0.107797	0.130867	0.171647	0.192747	0.236097
0.032222	0.059481	0.107967	0.130772	0.171792	0.192592	0.236222
0.032211	0.059308	0.108206	0.130661	0.171886	0.192475	0.236358
0.032208	0.059064	0.108414	0.130617	0.172042	0.192275	0.236406
0.032197	0.058892	0.108589	0.130522	0.172183	0.192111	0.236508
0.032161	0.058714	0.108783	0.130453	0.172286	0.191944	0.236656
0.032117	0.058525	0.108972	0.130367	0.172417	0.191792	0.236778
0.032100	0.058353	0.109169	0.130311	0.172528	0.191592	0.236892
0.032078	0.058167	0.109375	0.130239	0.172647	0.191431	0.237008
0.032081	0.057989	0.109586	0.130178	0.172772	0.191247	0.237108
0.031969	0.057733	0.109833	0.130136	0.172889	0.191081	0.237217
0.031936	0.057542	0.110053	0.130061	0.173000	0.190914	0.237328
0.031914	0.057358	0.110306	0.129967	0.173089	0.190747	0.237425
0.031839	0.057147	0.110467	0.129947	0.173258	0.190575	0.237564
0.031797	0.056933	0.110681	0.129886	0.173381	0.190414	0.237675
