 Computed angles file for PUMA motor control
 calc3mpo.tag
 Eval_MLI v4.0
2	// File format
3	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)
0.011431	0.160475	0.244283
0.011431	0.161208	0.244283
0.011431	0.161942	0.244283
0.011431	0.162661	0.244281
0.011431	0.163347	0.244239
0.011431	0.164097	0.244264
0.011431	0.164797	0.244236
0.011431	0.165508	0.244233
0.011431	0.166247	0.244253
0.011431	0.167019	0.244283
0.011431	0.167739	0.244283
0.011431	0.168453	0.244283
0.011431	0.169164	0.244283
0.011431	0.169872	0.244283
0.011431	0.170581	0.244283
0.011431	0.171289	0.244283
0.011431	0.171994	0.244283
0.011431	0.172697	0.244283
0.011436	0.173400	0.244283
0.011564	0.174114	0.244283
0.011431	0.174797	0.244283
0.011431	0.175489	0.244281
0.011431	0.176025	0.244142
0.011431	0.176225	0.243697
0.011431	0.176447	0.243275
0.011431	0.176667	0.242850
0.011431	0.176886	0.242425
0.011431	0.177189	0.242075
0.011433	0.177592	0.241817
0.011447	0.177997	0.241556
0.011742	0.178403	0.241278
0.012044	0.178806	0.240997
0.012006	0.179175	0.240714
0.011964	0.179547	0.240428
0.011919	0.179919	0.240144
0.011844	0.180286	0.239864
0.011803	0.180658	0.239581
0.011764	0.181031	0.239300
0.011722	0.181406	0.239019
0.011681	0.181778	0.238739
0.011636	0.182150	0.238458
0.011594	0.182525	0.238181
0.011550	0.182897	0.237903
0.011486	0.183269	0.237622
0.011469	0.183392	0.237114
0.011472	0.183381	0.236478
0.011472	0.183361	0.235833
0.011722	0.183722	0.235528
0.011972	0.184083	0.235222
0.012222	0.184472	0.234917
0.012472	0.184833	0.234639
0.012694	0.185222	0.234333
0.012944	0.185583	0.234028
0.013194	0.185972	0.233722
0.013444	0.186333	0.233444
0.013667	0.186722	0.233139
0.013917	0.187111	0.232861
0.014167	0.187472	0.232556
0.014417	0.187861	0.232250
0.014639	0.188250	0.231972
0.014889	0.188639	0.231667
0.015139	0.189028	0.231389
0.015361	0.189389	0.231111
0.015611	0.189778	0.230806
0.015861	0.190167	0.230528
0.016083	0.190583	0.230250
0.016333	0.190972	0.229972
0.016556	0.191361	0.229694
0.016806	0.191750	0.229417
0.017056	0.192139	0.229139
0.017278	0.192556	0.228861
0.017528	0.192944	0.228583
0.017750	0.193361	0.228306
0.018000	0.193778	0.228028
0.018222	0.194167	0.227778
0.018472	0.194583	0.227500
0.018694	0.195000	0.227250
0.018944	0.195417	0.227000
0.019167	0.195833	0.226722
0.019417	0.196278	0.226472
0.019639	0.196694	0.226222
0.019889	0.197139	0.226000
0.020111	0.197583	0.225750
0.020333	0.198028	0.225528
0.020583	0.198472	0.225278
0.020806	0.198917	0.225056
0.021056	0.199389	0.224833
0.021278	0.199833	0.224639
0.021500	0.200306	0.224417
0.021750	0.200806	0.224222
0.021972	0.201278	0.224028
0.022194	0.201778	0.223861
0.022444	0.202278	0.223694
0.022667	0.202806	0.223528
0.022889	0.203333	0.223389
0.023111	0.203889	0.223250
0.023361	0.204444	0.223111
0.023583	0.205028	0.223028
0.023806	0.205611	0.222944
0.024028	0.206250	0.222889
0.024278	0.206889	0.222833
0.024500	0.207556	0.222833
0.024722	0.208250	0.222861
0.024944	0.209000	0.222917
0.025167	0.209778	0.223000
0.025417	0.210611	0.223139
0.025639	0.211500	0.223361
0.025861	0.212444	0.223639
0.026083	0.213500	0.224000
0.026333	0.214639	0.224472
0.026556	0.215944	0.225083
0.026778	0.217389	0.225861
0.027028	0.219083	0.226861
0.027250	0.221083	0.228167
0.027500	0.223556	0.229944
0.027750	0.226722	0.232444
0.028000	0.231194	0.236250
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
0.028250	0.239222	0.243583
