 Computed angles file for PUMA motor control
 calc4m1b.tag
 Eval_MLI v4.0
2	// File format
4	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)
0.055556	0.111111	0.166667	0.222222
0.055341	0.111408	0.166428	0.222375
0.055126	0.111704	0.166190	0.222529
0.054909	0.112000	0.165953	0.222684
0.054692	0.112295	0.165718	0.222841
0.054474	0.112589	0.165483	0.222998
0.054256	0.112883	0.165249	0.223156
0.054036	0.113176	0.165016	0.223315
0.053816	0.113469	0.164785	0.223475
0.053595	0.113761	0.164554	0.223636
0.053373	0.114053	0.164324	0.223798
0.053151	0.114344	0.164095	0.223960
0.052928	0.114635	0.163867	0.224124
0.052704	0.114926	0.163640	0.224288
0.052479	0.115217	0.163414	0.224454
0.052254	0.115507	0.163189	0.224620
0.052028	0.115796	0.162965	0.224787
0.051802	0.116086	0.162741	0.224955
0.051574	0.116375	0.162519	0.225123
0.051346	0.116664	0.162298	0.225293
0.051118	0.116953	0.162077	0.225463
0.050889	0.117242	0.161858	0.225634
0.050659	0.117531	0.161639	0.225805
0.050428	0.117820	0.161421	0.225978
0.050197	0.118108	0.161205	0.226151
0.049966	0.118397	0.160989	0.226325
0.049733	0.118685	0.160774	0.226499
0.049500	0.118974	0.160561	0.226674
0.049267	0.119263	0.160348	0.226850
0.049033	0.119552	0.160136	0.227026
0.048798	0.119841	0.159925	0.227204
0.048562	0.120130	0.159716	0.227381
0.048326	0.120419	0.159507	0.227560
0.048090	0.120709	0.159300	0.227739
0.047853	0.120998	0.159093	0.227919
0.047615	0.121288	0.158888	0.228099
0.047377	0.121579	0.158683	0.228280
0.047138	0.121870	0.158480	0.228461
0.046898	0.122161	0.158278	0.228644
0.046658	0.122452	0.158077	0.228826
0.046417	0.122745	0.157877	0.229010
0.046176	0.123037	0.157679	0.229193
0.045934	0.123331	0.157482	0.229378
0.045691	0.123624	0.157286	0.229563
0.045448	0.123919	0.157091	0.229748
0.045205	0.124214	0.156898	0.229934
0.044960	0.124510	0.156707	0.230121
0.044715	0.124807	0.156516	0.230308
0.044470	0.125105	0.156328	0.230496
0.044224	0.125404	0.156140	0.230684
0.043977	0.125704	0.155955	0.230873
0.043729	0.126004	0.155771	0.231062
0.043481	0.126306	0.155589	0.231251
0.043233	0.126610	0.155408	0.231442
0.042983	0.126914	0.155230	0.231632
0.042733	0.127220	0.155053	0.231824
0.042483	0.127528	0.154879	0.232015
0.042232	0.127837	0.154706	0.232207
0.041980	0.128148	0.154536	0.232400
0.041727	0.128460	0.154368	0.232593
0.041474	0.128775	0.154203	0.232787
0.041220	0.129092	0.154040	0.232981
0.040965	0.129410	0.153880	0.233175
0.040710	0.129732	0.153723	0.233370
0.040454	0.130055	0.153568	0.233565
0.040197	0.130382	0.153417	0.233761
0.039939	0.130711	0.153269	0.233958
0.039681	0.131044	0.153125	0.234154
0.039422	0.131380	0.152985	0.234352
0.039162	0.131719	0.152848	0.234549
0.038901	0.132062	0.152716	0.234747
0.038640	0.132410	0.152589	0.234946
0.038377	0.132762	0.152466	0.235145
0.038114	0.133119	0.152349	0.235344
0.037850	0.133481	0.152237	0.235544
0.037585	0.133848	0.152131	0.235744
0.037319	0.134222	0.152032	0.235944
0.037052	0.134603	0.151940	0.236145
0.036783	0.134991	0.151856	0.236347
0.036514	0.135387	0.151780	0.236549
0.036244	0.135792	0.151713	0.236751
0.035973	0.136206	0.151657	0.236953
0.035700	0.136631	0.151611	0.237156
0.035426	0.137069	0.151578	0.237360
0.035151	0.137519	0.151558	0.237563
0.034874	0.137984	0.151554	0.237767
0.034596	0.138465	0.151566	0.237972
0.034316	0.138965	0.151597	0.238177
0.034034	0.139487	0.151650	0.238382
0.033750	0.140032	0.151727	0.238587
0.033464	0.140605	0.151832	0.238793
0.033176	0.141209	0.151969	0.238999
0.032885	0.141851	0.152143	0.239205
0.032590	0.142537	0.152362	0.239412
0.032292	0.143275	0.152634	0.239618
0.031989	0.144077	0.152969	0.239825
0.031681	0.144957	0.153382	0.240031
0.031366	0.145936	0.153894	0.240238
0.031042	0.147043	0.154535	0.240443
0.030705	0.148323	0.155347	0.240648
0.030349	0.149852	0.156408	0.240850
0.029960	0.151776	0.157861	0.241049
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
0.029501	0.154470	0.160077	0.241240
