 Computed angles file for PUMA motor control
 calc4p1o.tag
 Eval_MLI v4.0
2	// File format
4	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)
0.008889	0.089292	0.098181	0.172583
0.008889	0.089275	0.098164	0.171878
0.008894	0.089253	0.098142	0.171172
0.008889	0.089247	0.098136	0.170464
0.008889	0.089225	0.098114	0.169756
0.008953	0.089206	0.098094	0.169047
0.008889	0.089119	0.098008	0.168319
0.008892	0.088719	0.097608	0.167594
0.008889	0.088706	0.097594	0.166872
0.008892	0.088250	0.097139	0.166114
0.008889	0.088244	0.097133	0.165397
0.008889	0.087836	0.096725	0.164644
0.008928	0.087456	0.096344	0.163900
0.009458	0.087472	0.096361	0.163217
0.010200	0.087200	0.096089	0.162528
0.011067	0.086947	0.095836	0.161861
0.011806	0.086678	0.096033	0.161500
0.012211	0.086392	0.096328	0.161178
0.012608	0.086103	0.096625	0.160856
0.013000	0.085814	0.096919	0.160531
0.013381	0.085528	0.097214	0.160208
0.013758	0.085239	0.097508	0.159883
0.014128	0.084950	0.097803	0.159561
0.014492	0.084661	0.098094	0.159236
0.014853	0.084372	0.098389	0.158911
0.015206	0.084083	0.098681	0.158589
0.015556	0.083794	0.098975	0.158264
0.015903	0.083506	0.099267	0.157939
0.016244	0.083217	0.099558	0.157614
0.016581	0.082928	0.099850	0.157289
0.016914	0.082636	0.100139	0.156964
0.017244	0.082347	0.100431	0.156639
0.017572	0.082056	0.100719	0.156311
0.017897	0.081764	0.101011	0.155986
0.018217	0.081475	0.101300	0.155658
0.018536	0.081183	0.101589	0.155333
0.018850	0.080892	0.101875	0.155006
0.019164	0.080597	0.102164	0.154678
0.019475	0.080306	0.102450	0.154350
0.019781	0.080014	0.102736	0.154022
0.020086	0.079719	0.103022	0.153694
0.020389	0.079428	0.103308	0.153364
0.020689	0.079133	0.103594	0.153036
0.020986	0.078839	0.103878	0.152706
0.021283	0.078544	0.104161	0.152375
0.021575	0.078250	0.104444	0.152044
0.021867	0.077956	0.104728	0.151714
0.022156	0.077658	0.105008	0.151381
0.022444	0.077361	0.105289	0.151047
0.022731	0.077067	0.105569	0.150717
0.023014	0.076769	0.105850	0.150381
0.023294	0.076472	0.106128	0.150047
0.023572	0.076172	0.106406	0.149711
0.023850	0.075875	0.106683	0.149375
0.024125	0.075575	0.106958	0.149039
0.024400	0.075275	0.107236	0.148703
0.024672	0.074975	0.107508	0.148364
0.024942	0.074672	0.107783	0.148025
0.025208	0.074372	0.108056	0.147683
0.025475	0.074069	0.108328	0.147344
0.025739	0.073767	0.108597	0.147000
0.026003	0.073461	0.108867	0.146658
0.026261	0.073156	0.109136	0.146314
0.026519	0.072850	0.109403	0.145967
0.026778	0.072544	0.109667	0.145619
0.027031	0.072239	0.109931	0.145272
0.027283	0.071931	0.110194	0.144922
0.027536	0.071619	0.110456	0.144572
0.027783	0.071311	0.110714	0.144219
0.028031	0.071000	0.110972	0.143864
0.028275	0.070686	0.111228	0.143508
0.028517	0.070375	0.111483	0.143150
0.028758	0.070058	0.111736	0.142789
0.028994	0.069744	0.111986	0.142428
0.029231	0.069428	0.112233	0.142064
0.029467	0.069108	0.112478	0.141697
0.029697	0.068789	0.112722	0.141328
0.029925	0.068467	0.112961	0.140956
0.030153	0.068144	0.113197	0.140581
0.030375	0.067819	0.113433	0.140203
0.030597	0.067494	0.113664	0.139819
0.030817	0.067167	0.113892	0.139436
0.031033	0.066836	0.114114	0.139047
0.031244	0.066506	0.114333	0.138653
0.031456	0.066172	0.114550	0.138256
0.031661	0.065836	0.114758	0.137853
0.031867	0.065497	0.114964	0.137444
0.032067	0.065156	0.115164	0.137033
0.032264	0.064814	0.115356	0.136614
0.032458	0.064467	0.115542	0.136186
0.032647	0.064117	0.115722	0.135753
0.032833	0.063764	0.115892	0.135311
0.033017	0.063408	0.116056	0.134861
0.033194	0.063050	0.116206	0.134400
0.033364	0.062686	0.116342	0.133922
0.033533	0.062319	0.116469	0.133439
0.033694	0.061947	0.116583	0.132942
0.033853	0.061569	0.116683	0.132428
0.034006	0.061189	0.116764	0.131897
0.034150	0.060803	0.116825	0.131347
0.034292	0.060408	0.116864	0.130775
0.034422	0.060011	0.116875	0.130175
0.034547	0.059603	0.116858	0.129547
0.034664	0.059189	0.116803	0.128883
0.034769	0.058764	0.116706	0.128178
0.034867	0.058328	0.116561	0.127425
0.034950	0.057883	0.116353	0.126611
0.035022	0.057422	0.116072	0.125725
0.035078	0.056944	0.115700	0.124753
0.035117	0.056447	0.115214	0.123669
0.035131	0.055922	0.114578	0.122442
0.035117	0.055367	0.113747	0.121025
0.035067	0.054764	0.112650	0.119356
0.034958	0.054097	0.111181	0.117331
0.034767	0.053325	0.109158	0.114781
0.034422	0.052364	0.106275	0.111425
0.033753	0.051003	0.101844	0.106642
0.032181	0.048531	0.094389	0.099183
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
0.025550	0.040286	0.079261	0.085706
