 Computed angles file for PUMA motor control
 calc4pp.tag
 Eval_MLI v4.0
2	// File format
4	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)
0.055667	0.110917	0.166917	0.222611
0.055667	0.110917	0.166917	0.221972
0.056083	0.110417	0.167139	0.222000
0.056139	0.110250	0.167389	0.221722
0.056417	0.109889	0.167639	0.221639
0.056611	0.109611	0.167889	0.221472
0.056833	0.109306	0.168111	0.221333
0.057028	0.109000	0.168361	0.221194
0.057250	0.108694	0.168611	0.221028
0.057444	0.108389	0.168861	0.220889
0.057639	0.108083	0.169111	0.220750
0.057861	0.107778	0.169361	0.220611
0.058056	0.107472	0.169611	0.220472
0.058250	0.107167	0.169861	0.220333
0.058472	0.106861	0.170111	0.220194
0.058667	0.106556	0.170389	0.220083
0.058861	0.106250	0.170639	0.219944
0.059056	0.105917	0.170889	0.219806
0.059250	0.105611	0.171167	0.219667
0.059444	0.105278	0.171417	0.219556
0.059639	0.104972	0.171694	0.219417
0.059833	0.104639	0.171944	0.219306
0.060000	0.104333	0.172222	0.219167
0.060194	0.104000	0.172472	0.219056
0.060389	0.103667	0.172750	0.218944
0.060583	0.103361	0.173028	0.218806
0.060750	0.103028	0.173306	0.218694
0.060944	0.102694	0.173556	0.218583
0.061111	0.102361	0.173833	0.218472
0.061278	0.102000	0.174111	0.218361
0.061472	0.101667	0.174389	0.218250
0.061639	0.101333	0.174667	0.218167
0.061806	0.101000	0.174972	0.218056
0.061972	0.100639	0.175250	0.217944
0.062139	0.100278	0.175528	0.217861
0.062306	0.099944	0.175833	0.217750
0.062472	0.099583	0.176111	0.217667
0.062611	0.099222	0.176417	0.217583
0.062778	0.098861	0.176694	0.217500
0.062917	0.098500	0.177000	0.217389
0.063083	0.098111	0.177306	0.217306
0.063222	0.097750	0.177611	0.217250
0.063361	0.097361	0.177917	0.217167
0.063500	0.097000	0.178222	0.217083
0.063611	0.096611	0.178528	0.217028
0.063750	0.096222	0.178833	0.216944
0.063889	0.095806	0.179167	0.216889
0.064000	0.095417	0.179472	0.216833
0.064111	0.095000	0.179806	0.216778
0.064222	0.094583	0.180139	0.216722
0.064306	0.094167	0.180472	0.216667
0.064417	0.093750	0.180806	0.216611
0.064500	0.093306	0.181139	0.216583
0.064583	0.092889	0.181472	0.216528
0.064667	0.092444	0.181806	0.216500
0.064722	0.091972	0.182167	0.216472
0.064778	0.091528	0.182500	0.216444
0.064833	0.091056	0.182861	0.216417
0.064889	0.090556	0.183222	0.216389
0.064917	0.090083	0.183583	0.216389
0.064944	0.089583	0.183944	0.216389
0.064944	0.089056	0.184333	0.216361
0.064944	0.088528	0.184694	0.216361
0.064917	0.088000	0.185083	0.216361
0.064889	0.087444	0.185472	0.216389
0.064833	0.086889	0.185861	0.216389
0.064778	0.086306	0.186250	0.216417
0.064667	0.085722	0.186667	0.216417
0.064583	0.085111	0.187056	0.216444
0.064444	0.084500	0.187472	0.216472
0.064278	0.083833	0.187889	0.216500
0.064111	0.083167	0.188333	0.216556
0.063917	0.082500	0.188750	0.216583
0.063694	0.081806	0.189194	0.216611
0.063444	0.081083	0.189611	0.216639
0.063139	0.080333	0.190056	0.216694
0.062833	0.079583	0.190500	0.216722
0.062472	0.078806	0.190972	0.216778
0.062083	0.078000	0.191417	0.216806
0.061667	0.077194	0.191889	0.216833
0.061194	0.076361	0.192361	0.216861
0.060722	0.075500	0.192833	0.216889
0.060194	0.074639	0.193306	0.216917
0.059611	0.073750	0.193778	0.216917
0.059028	0.072861	0.194250	0.216944
0.058389	0.071944	0.194750	0.216944
0.057750	0.071028	0.195222	0.216944
0.057056	0.070111	0.195722	0.216944
0.056361	0.069194	0.196222	0.216917
0.055611	0.068278	0.196722	0.216917
0.054861	0.067361	0.197222	0.216889
0.054083	0.066417	0.197722	0.216861
0.053306	0.065500	0.198250	0.216833
0.052500	0.064611	0.198778	0.216833
0.051694	0.063694	0.199306	0.216806
0.050861	0.062806	0.199833	0.216778
0.050028	0.061889	0.200389	0.216750
0.049167	0.061028	0.200972	0.216750
0.048333	0.060139	0.201528	0.216750
0.047472	0.059278	0.202139	0.216750
0.046611	0.058417	0.202750	0.216778
0.045722	0.057583	0.203389	0.216806
0.044861	0.056722	0.204056	0.216889
0.043972	0.055889	0.204750	0.216972
0.043083	0.055056	0.205472	0.217111
0.042194	0.054250	0.206250	0.217250
0.041278	0.053417	0.207056	0.217472
0.040361	0.052583	0.207944	0.217750
0.039444	0.051778	0.208917	0.218111
0.038472	0.050944	0.209972	0.218556
0.037500	0.050111	0.211139	0.219111
0.036500	0.049250	0.212500	0.219833
0.035444	0.048361	0.214028	0.220750
0.034333	0.047444	0.215889	0.222000
0.033139	0.046472	0.218139	0.223639
0.031806	0.045417	0.221000	0.225889
0.030306	0.044194	0.224944	0.229250
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
0.028472	0.042778	0.231028	0.234694
