 Computed angles file for PUMA motor control
 calc5p1o.tag
 Eval_MLI v4.0
2	// File format
5	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)
0.007278	0.059586	0.112844	0.164053	0.220081
0.007278	0.059172	0.113225	0.163964	0.220231
0.007278	0.058878	0.113342	0.163831	0.220558
0.007278	0.058603	0.113631	0.163750	0.220825
0.007278	0.058294	0.113831	0.163631	0.221106
0.007278	0.058114	0.114019	0.163547	0.221467
0.007278	0.057769	0.114289	0.163439	0.221717
0.007278	0.057519	0.114461	0.163328	0.222033
0.007278	0.057219	0.114583	0.163189	0.222361
0.007278	0.056983	0.114806	0.163094	0.222683
0.007278	0.056775	0.114942	0.162992	0.223053
0.007278	0.056492	0.115136	0.162872	0.223356
0.007278	0.056186	0.115381	0.162764	0.223614
0.007278	0.055992	0.115547	0.162661	0.223972
0.007278	0.055853	0.115744	0.162642	0.224403
0.007278	0.055647	0.115875	0.162500	0.224756
0.007278	0.055475	0.116056	0.162425	0.225139
0.007278	0.055294	0.116244	0.162350	0.225503
0.007278	0.055203	0.116356	0.162269	0.225967
0.007278	0.054806	0.116356	0.162100	0.226314
0.007278	0.054369	0.116272	0.161972	0.226742
0.007278	0.053850	0.116272	0.161692	0.226950
0.007278	0.053453	0.116206	0.161461	0.227294
0.007278	0.053017	0.116094	0.161278	0.227692
0.007317	0.052658	0.116286	0.161167	0.227975
0.007403	0.052442	0.116511	0.160925	0.228167
0.007414	0.052247	0.116764	0.160692	0.228364
0.007425	0.052058	0.117022	0.160439	0.228536
0.007403	0.051831	0.117286	0.160236	0.228736
0.007367	0.051622	0.117611	0.160039	0.228914
0.007383	0.051467	0.117769	0.159769	0.229147
0.007342	0.051256	0.118100	0.159575	0.229322
0.007361	0.050992	0.118364	0.159347	0.229492
0.007372	0.050736	0.118633	0.159125	0.229664
0.007392	0.050528	0.118942	0.158778	0.229719
0.007417	0.050361	0.119306	0.158333	0.229667
0.007611	0.050194	0.119528	0.158083	0.229861
0.007833	0.050056	0.119750	0.157861	0.230083
0.008056	0.049917	0.120000	0.157611	0.230306
0.008278	0.049778	0.120222	0.157389	0.230500
0.008500	0.049639	0.120444	0.157139	0.230722
0.008694	0.049500	0.120694	0.156889	0.230944
0.008917	0.049389	0.120917	0.156667	0.231139
0.009139	0.049250	0.121139	0.156417	0.231361
0.009361	0.049111	0.121361	0.156194	0.231583
0.009583	0.048972	0.121611	0.155944	0.231778
0.009806	0.048833	0.121833	0.155694	0.232000
0.010028	0.048694	0.122056	0.155472	0.232222
0.010250	0.048556	0.122278	0.155222	0.232417
0.010472	0.048444	0.122528	0.155000	0.232639
0.010694	0.048306	0.122750	0.154750	0.232861
0.010917	0.048167	0.122972	0.154500	0.233056
0.011139	0.048056	0.123194	0.154278	0.233278
0.011361	0.047917	0.123417	0.154028	0.233472
0.011583	0.047778	0.123667	0.153806	0.233694
0.011806	0.047667	0.123889	0.153556	0.233917
0.012028	0.047528	0.124111	0.153306	0.234111
0.012250	0.047417	0.124333	0.153083	0.234333
0.012472	0.047278	0.124556	0.152833	0.234556
0.012694	0.047167	0.124778	0.152583	0.234750
0.012917	0.047028	0.125028	0.152361	0.234972
0.013167	0.046917	0.125250	0.152111	0.235194
0.013389	0.046806	0.125472	0.151861	0.235389
0.013611	0.046667	0.125694	0.151639	0.235611
0.013833	0.046556	0.125917	0.151389	0.235806
0.014056	0.046444	0.126139	0.151139	0.236028
0.014306	0.046333	0.126361	0.150917	0.236250
0.014528	0.046194	0.126583	0.150667	0.236444
0.014750	0.046083	0.126806	0.150417	0.236667
0.014972	0.045972	0.127028	0.150167	0.236889
0.015222	0.045861	0.127250	0.149944	0.237083
0.015444	0.045750	0.127472	0.149694	0.237306
0.015694	0.045639	0.127694	0.149444	0.237500
0.015917	0.045528	0.127917	0.149194	0.237722
0.016139	0.045417	0.128139	0.148944	0.237944
0.016389	0.045306	0.128361	0.148694	0.238139
0.016611	0.045222	0.128583	0.148472	0.238361
0.016861	0.045111	0.128806	0.148222	0.238556
0.017083	0.045000	0.129028	0.147972	0.238778
0.017333	0.044917	0.129250	0.147722	0.239000
0.017583	0.044806	0.129472	0.147472	0.239194
0.017806	0.044722	0.129694	0.147222	0.239417
0.018056	0.044611	0.129889	0.146972	0.239611
0.018306	0.044528	0.130111	0.146722	0.239833
0.018528	0.044417	0.130333	0.146472	0.240056
0.018778	0.044333	0.130528	0.146222	0.240250
0.019028	0.044250	0.130750	0.145944	0.240472
0.019278	0.044167	0.130972	0.145694	0.240667
0.019528	0.044056	0.131167	0.145444	0.240889
0.019750	0.043972	0.131389	0.145194	0.241111
0.020000	0.043889	0.131583	0.144917	0.241306
0.020250	0.043806	0.131778	0.144667	0.241528
0.020500	0.043750	0.132000	0.144389	0.241722
