 Computed angles file for PUMA motor control
 calc6p1o.tag
 Eval_MLI v4.0
2	// File format
6	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)
0.039097	0.042814	0.164500	0.206644	0.208589	0.249028
0.039228	0.042606	0.165117	0.206722	0.208667	0.249028
0.039286	0.042272	0.165722	0.206911	0.208856	0.249028
0.039378	0.042075	0.166358	0.207108	0.209053	0.249028
0.039558	0.041675	0.166886	0.207331	0.209275	0.249028
0.039611	0.041558	0.167400	0.207269	0.209336	0.249028
0.039536	0.041481	0.167583	0.207072	0.209617	0.249028
0.039556	0.041500	0.167733	0.206917	0.209933	0.248989
0.039511	0.041456	0.167978	0.206794	0.210108	0.248875
0.039486	0.041439	0.168181	0.206736	0.210306	0.248675
0.039408	0.041439	0.168378	0.206686	0.210542	0.248481
0.039389	0.041333	0.168597	0.206603	0.210686	0.248281
0.039453	0.041433	0.168744	0.206483	0.210981	0.248189
0.039286	0.041508	0.168883	0.206322	0.211242	0.248044
0.039158	0.041492	0.169069	0.206183	0.211458	0.247897
0.039117	0.041419	0.169294	0.206081	0.211628	0.247747
0.039108	0.041403	0.169503	0.205900	0.211744	0.247594
0.039106	0.041447	0.169728	0.205750	0.211886	0.247444
0.039128	0.041375	0.169956	0.205600	0.211992	0.247292
0.039208	0.041367	0.170144	0.205411	0.212092	0.247136
0.039336	0.041300	0.170308	0.205292	0.212239	0.246964
0.039219	0.041289	0.170494	0.205144	0.212439	0.246817
0.039106	0.041275	0.170681	0.204994	0.212639	0.246669
0.038989	0.041267	0.170867	0.204847	0.212839	0.246522
0.038875	0.041256	0.171053	0.204700	0.213042	0.246378
0.038758	0.041244	0.171242	0.204553	0.213242	0.246233
0.038644	0.041236	0.171428	0.204406	0.213444	0.246089
0.038528	0.041228	0.171617	0.204258	0.213647	0.245944
0.038414	0.041219	0.171803	0.204111	0.213850	0.245800
0.038297	0.041214	0.171992	0.203967	0.214053	0.245658
0.038183	0.041206	0.172181	0.203822	0.214258	0.245517
0.038069	0.041200	0.172372	0.203678	0.214464	0.245375
0.037953	0.041194	0.172561	0.203533	0.214669	0.245236
0.037839	0.041189	0.172753	0.203389	0.214875	0.245094
0.037725	0.041186	0.172944	0.203244	0.215083	0.244958
0.037611	0.041181	0.173136	0.203103	0.215292	0.244819
0.037497	0.041178	0.173328	0.202961	0.215500	0.244681
0.037381	0.041175	0.173522	0.202819	0.215711	0.244544
0.037267	0.041175	0.173714	0.202678	0.215922	0.244411
0.037153	0.041172	0.173908	0.202539	0.216133	0.244275
0.037039	0.041172	0.174103	0.202400	0.216347	0.244142
0.036925	0.041172	0.174300	0.202261	0.216561	0.244011
0.036811	0.041172	0.174494	0.202122	0.216775	0.243878
0.036697	0.041172	0.174692	0.201983	0.216992	0.243747
0.036583	0.041172	0.174892	0.201847	0.217208	0.243619
0.036469	0.041175	0.175089	0.201711	0.217428	0.243492
0.036358	0.041178	0.175289	0.201578	0.217647	0.243364
0.036244	0.041181	0.175489	0.201444	0.217867	0.243239
0.036131	0.041183	0.175689	0.201311	0.218089	0.243117
0.036017	0.041189	0.175892	0.201178	0.218314	0.242992
0.035906	0.041194	0.176094	0.201047	0.218539	0.242872
0.035792	0.041197	0.176300	0.200917	0.218764	0.242753
