 Computed angles file for PUMA motor control
 calc7m1o.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.039253	0.042031	0.081972	0.084750	0.124264	0.127042	0.171267
0.039078	0.041856	0.081694	0.084472	0.124122	0.126900	0.170544
0.039133	0.041911	0.081681	0.084458	0.124056	0.126833	0.169847
0.039078	0.041856	0.081675	0.084458	0.124086	0.126864	0.169142
0.039158	0.041936	0.081664	0.084442	0.123967	0.126744	0.168417
0.039211	0.041989	0.081611	0.084389	0.123922	0.126700	0.167697
0.039367	0.042144	0.081539	0.084317	0.123733	0.126511	0.166994
0.039481	0.042258	0.081461	0.084239	0.123644	0.126422	0.166289
0.039644	0.042422	0.081483	0.084261	0.123664	0.126442	0.165567
0.039653	0.042433	0.081525	0.084303	0.123294	0.126250	0.165017
0.039669	0.042447	0.081344	0.084431	0.123094	0.126458	0.164811
0.039692	0.042492	0.081278	0.084708	0.122925	0.126753	0.164686
0.039508	0.042567	0.081089	0.084833	0.122733	0.126911	0.164503
0.039328	0.042642	0.080900	0.084956	0.122544	0.127072	0.164322
0.039147	0.042714	0.080708	0.085081	0.122353	0.127231	0.164142
0.038967	0.042789	0.080519	0.085206	0.122161	0.127389	0.163961
0.038783	0.042864	0.080331	0.085328	0.121969	0.127547	0.163778
0.038603	0.042939	0.080139	0.085453	0.121778	0.127708	0.163597
0.038419	0.043011	0.079947	0.085575	0.121586	0.127867	0.163414
0.038239	0.043086	0.079756	0.085697	0.121392	0.128025	0.163233
0.038056	0.043158	0.079564	0.085822	0.121200	0.128183	0.163050
0.037872	0.043233	0.079372	0.085944	0.121006	0.128342	0.162867
0.037692	0.043306	0.079181	0.086067	0.120814	0.128500	0.162686
0.037508	0.043381	0.078989	0.086189	0.120619	0.128661	0.162503
0.037325	0.043453	0.078794	0.086311	0.120425	0.128819	0.162319
0.037142	0.043525	0.078600	0.086433	0.120231	0.128978	0.162136
0.036958	0.043597	0.078408	0.086556	0.120033	0.129136	0.161953
0.036772	0.043672	0.078214	0.086675	0.119839	0.129294	0.161769
0.036589	0.043744	0.078017	0.086797	0.119642	0.129453	0.161583
0.036406	0.043817	0.077822	0.086919	0.119444	0.129611	0.161400
0.036219	0.043886	0.077628	0.087039	0.119250	0.129769	0.161217
0.036036	0.043958	0.077431	0.087158	0.119050	0.129928	0.161031
0.035850	0.044031	0.077233	0.087281	0.118853	0.130086	0.160847
0.035664	0.044103	0.077036	0.087400	0.118656	0.130244	0.160661
0.035478	0.044172	0.076839	0.087519	0.118456	0.130403	0.160478
0.035292	0.044242	0.076642	0.087639	0.118258	0.130558	0.160292
0.035106	0.044314	0.076442	0.087756	0.118058	0.130717	0.160106
0.034919	0.044383	0.076242	0.087875	0.117858	0.130875	0.159919
0.034733	0.044453	0.076044	0.087992	0.117656	0.131033	0.159733
