 Computed angles file for PUMA motor control
 calc7m_h23.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.033330	0.066666	0.099996	0.133331	0.166662	0.199992	0.233327
0.033279	0.066758	0.099874	0.133468	0.166519	0.200134	0.233190
0.033234	0.066854	0.099752	0.133606	0.166377	0.200276	0.233048
0.033183	0.066945	0.099626	0.133747	0.166231	0.200417	0.232912
0.033132	0.067041	0.099503	0.133885	0.166088	0.200560	0.232774
0.033081	0.067134	0.099380	0.134029	0.165944	0.200700	0.232635
0.033031	0.067230	0.099258	0.134165	0.165802	0.200841	0.232494
0.032980	0.067326	0.099138	0.134306	0.165656	0.200982	0.232357
0.032933	0.067424	0.099015	0.134445	0.165513	0.201125	0.232219
0.032883	0.067515	0.098892	0.134587	0.165370	0.201263	0.232076
0.032832	0.067612	0.098770	0.134726	0.165227	0.201406	0.231938
0.032781	0.067708	0.098648	0.134867	0.165085	0.201548	0.231801
0.032735	0.067804	0.098527	0.135009	0.164939	0.201689	0.231665
0.032685	0.067901	0.098405	0.135147	0.164795	0.201828	0.231522
0.032639	0.067998	0.098283	0.135289	0.164653	0.201970	0.231385
0.032588	0.068095	0.098160	0.135427	0.164510	0.202112	0.231247
0.032538	0.068191	0.098040	0.135567	0.164365	0.202253	0.231107
0.032491	0.068288	0.097921	0.135710	0.164221	0.202393	0.230968
0.032441	0.068385	0.097799	0.135850	0.164078	0.202535	0.230830
0.032395	0.068482	0.097677	0.135991	0.163936	0.202677	0.230692
0.032348	0.068582	0.097555	0.136133	0.163793	0.202815	0.230551
0.032299	0.068680	0.097437	0.136271	0.163646	0.202957	0.230414
0.032252	0.068776	0.097317	0.136413	0.163503	0.203099	0.230276
0.032202	0.068877	0.097199	0.136555	0.163361	0.203237	0.230134
0.032155	0.068974	0.097077	0.136697	0.163219	0.203379	0.229996
0.032110	0.069072	0.096958	0.136837	0.163075	0.203522	0.229857
0.032064	0.069172	0.096838	0.136978	0.162930	0.203659	0.229717
0.032013	0.069270	0.096720	0.137120	0.162787	0.203801	0.229579
0.031967	0.069371	0.096600	0.137262	0.162644	0.203942	0.229441
0.031921	0.069472	0.096482	0.137405	0.162501	0.204081	0.229300
0.031875	0.069571	0.096363	0.137544	0.162357	0.204224	0.229161
0.031829	0.069671	0.096243	0.137685	0.162213	0.204365	0.229024
0.031780	0.069773	0.096126	0.137827	0.162069	0.204503	0.228884
0.031733	0.069874	0.096009	0.137969	0.161927	0.204645	0.228744
0.031688	0.069972	0.095891	0.138111	0.161785	0.204786	0.228604
0.031642	0.070073	0.095771	0.138253	0.161641	0.204926	0.228465
