 Computed angles file for PUMA motor control
 calc9m1o.tag
 Eval_MLI v4.0
2	// File format
9	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)	ag8(tour)	ag9(tour)
0.032231	0.033619	0.065967	0.067356	0.099681	0.101069	0.132817	0.134206	0.169700
0.031942	0.033333	0.065731	0.067119	0.099411	0.100800	0.132569	0.133958	0.169014
0.032014	0.033403	0.065719	0.067108	0.099389	0.100778	0.132500	0.133889	0.168297
0.032078	0.033467	0.065744	0.067139	0.099275	0.100664	0.132464	0.133853	0.167594
0.032114	0.033536	0.065664	0.067053	0.099153	0.100544	0.132542	0.133931	0.166892
0.032194	0.033592	0.065656	0.067044	0.099108	0.100497	0.132550	0.133939	0.166167
0.032203	0.033597	0.065683	0.067117	0.099033	0.100628	0.132394	0.133953	0.165767
0.032117	0.033642	0.065569	0.067219	0.098883	0.100708	0.132236	0.134122	0.165622
0.032028	0.033700	0.065436	0.067311	0.098750	0.100847	0.132083	0.134303	0.165514
0.031944	0.033775	0.065297	0.067397	0.098614	0.100983	0.131964	0.134500	0.165392
0.031897	0.033822	0.065183	0.067514	0.098486	0.101117	0.131831	0.134647	0.165228
0.031764	0.033883	0.065044	0.067608	0.098342	0.101233	0.131681	0.134781	0.165083
0.031619	0.033933	0.064894	0.067692	0.098186	0.101344	0.131528	0.134911	0.164939
0.031478	0.033981	0.064747	0.067775	0.098033	0.101456	0.131378	0.135042	0.164794
0.031333	0.034031	0.064597	0.067861	0.097881	0.101567	0.131225	0.135172	0.164647
0.031189	0.034081	0.064447	0.067944	0.097728	0.101678	0.131072	0.135306	0.164503
0.031044	0.034131	0.064297	0.068028	0.097575	0.101789	0.130922	0.135436	0.164358
0.030900	0.034181	0.064147	0.068114	0.097419	0.101900	0.130769	0.135567	0.164214
0.030756	0.034228	0.063997	0.068197	0.097267	0.102011	0.130617	0.135697	0.164069
0.030611	0.034278	0.063847	0.068281	0.097111	0.102122	0.130464	0.135828	0.163922
0.030467	0.034328	0.063697	0.068364	0.096958	0.102231	0.130308	0.135961	0.163778
0.030322	0.034375	0.063544	0.068447	0.096803	0.102342	0.130156	0.136092	0.163633
0.030178	0.034425	0.063394	0.068531	0.096647	0.102453	0.130003	0.136222	0.163486
0.030033	0.034472	0.063242	0.068614	0.096492	0.102561	0.129847	0.136353	0.163342
0.029889	0.034522	0.063089	0.068694	0.096336	0.102672	0.129694	0.136483	0.163194
0.029744	0.034569	0.062936	0.068778	0.096178	0.102781	0.129539	0.136614	0.163050
0.029597	0.034619	0.062783	0.068861	0.096022	0.102892	0.129383	0.136744	0.162903
0.029453	0.034667	0.062631	0.068942	0.095864	0.103000	0.129228	0.136875	0.162756
0.029306	0.034714	0.062478	0.069022	0.095708	0.103108	0.129072	0.137006	0.162611
0.029161	0.034761	0.062325	0.069106	0.095550	0.103217	0.128917	0.137136	0.162464
0.029014	0.034808	0.062169	0.069186	0.095392	0.103325	0.128761	0.137267	0.162317
0.028869	0.034856	0.062017	0.069267	0.095233	0.103433	0.128606	0.137397	0.162169
0.028722	0.034903	0.061861	0.069347	0.095072	0.103542	0.128447	0.137528	0.162022
0.028575	0.034950	0.061706	0.069428	0.094914	0.103650	0.128292	0.137658	0.161875
0.028428	0.034997	0.061553	0.069508	0.094753	0.103758	0.128133	0.137789	0.161728
0.028283	0.035044	0.061394	0.069586	0.094594	0.103864	0.127978	0.137919	0.161581
0.028136	0.035092	0.061239	0.069667	0.094433	0.103972	0.127819	0.138050	0.161433
