 Computed angles file for PUMA motor control
 int15h3.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.033333	0.066667	0.100000	0.133333	0.166667	0.200000	0.233333
0.033383	0.066572	0.100125	0.133194	0.166811	0.199858	0.233472
0.033436	0.066481	0.100247	0.133056	0.166953	0.199717	0.233611
0.033486	0.066386	0.100372	0.132917	0.167097	0.199575	0.233750
0.033536	0.066294	0.100497	0.132775	0.167242	0.199433	0.233889
0.033589	0.066200	0.100619	0.132636	0.167383	0.199292	0.234025
0.033639	0.066108	0.100744	0.132497	0.167528	0.199150	0.234164
0.033692	0.066017	0.100869	0.132358	0.167672	0.199008	0.234303
0.033744	0.065925	0.100994	0.132219	0.167814	0.198867	0.234442
0.033794	0.065831	0.101119	0.132081	0.167958	0.198725	0.234581
0.033847	0.065739	0.101244	0.131942	0.168103	0.198583	0.234719
0.033900	0.065647	0.101372	0.131806	0.168247	0.198442	0.234858
0.033953	0.065558	0.101497	0.131667	0.168389	0.198300	0.234994
0.034006	0.065467	0.101622	0.131528	0.168533	0.198158	0.235133
0.034058	0.065375	0.101747	0.131389	0.168678	0.198017	0.235272
0.034111	0.065283	0.101875	0.131250	0.168819	0.197875	0.235411
0.034164	0.065194	0.102000	0.131111	0.168964	0.197733	0.235550
0.034217	0.065103	0.102128	0.130975	0.169108	0.197592	0.235689
0.034269	0.065014	0.102253	0.130836	0.169250	0.197450	0.235825
0.034325	0.064922	0.102381	0.130697	0.169394	0.197308	0.235964
0.034378	0.064833	0.102508	0.130561	0.169539	0.197167	0.236103
0.034431	0.064744	0.102636	0.130422	0.169681	0.197025	0.236242
0.034486	0.064656	0.102761	0.130286	0.169825	0.196881	0.236381
0.034539	0.064567	0.102889	0.130147	0.169969	0.196739	0.236517
0.034594	0.064478	0.103017	0.130011	0.170111	0.196597	0.236656
