 Computed angles file for PUMA motor control
 int21h3.tag
 Eval_MLI v4.0
2	// File format
10	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)	ag8(tour)	ag9(tour)	ag10(tour)
0.023808	0.047619	0.071428	0.095239	0.119047	0.142858	0.166667	0.190475	0.214286	0.238094
0.023836	0.047569	0.071500	0.095153	0.119144	0.142756	0.166769	0.190375	0.214386	0.237997
0.023861	0.047519	0.071569	0.095067	0.119239	0.142656	0.166872	0.190272	0.214486	0.237897
0.023889	0.047469	0.071642	0.094981	0.119336	0.142553	0.166975	0.190172	0.214586	0.237800
0.023914	0.047419	0.071711	0.094894	0.119433	0.142453	0.167078	0.190069	0.214686	0.237700
0.023942	0.047369	0.071783	0.094808	0.119528	0.142353	0.167181	0.189967	0.214786	0.237600
0.023967	0.047319	0.071856	0.094725	0.119625	0.142250	0.167283	0.189867	0.214886	0.237503
0.023994	0.047269	0.071925	0.094639	0.119722	0.142150	0.167383	0.189764	0.214986	0.237403
0.024022	0.047219	0.071997	0.094553	0.119817	0.142050	0.167486	0.189661	0.215086	0.237306
0.024047	0.047169	0.072069	0.094469	0.119914	0.141947	0.167589	0.189561	0.215186	0.237206
0.024075	0.047119	0.072139	0.094383	0.120011	0.141847	0.167692	0.189458	0.215286	0.237106
0.024100	0.047072	0.072211	0.094297	0.120108	0.141747	0.167794	0.189358	0.215386	0.237008
0.024128	0.047022	0.072283	0.094214	0.120203	0.141644	0.167897	0.189256	0.215486	0.236908
0.024156	0.046972	0.072356	0.094128	0.120300	0.141544	0.168000	0.189153	0.215586	0.236811
0.024183	0.046922	0.072428	0.094044	0.120397	0.141444	0.168103	0.189053	0.215683	0.236711
0.024208	0.046875	0.072500	0.093958	0.120494	0.141342	0.168206	0.188950	0.215783	0.236611
0.024236	0.046825	0.072572	0.093875	0.120592	0.141242	0.168308	0.188847	0.215883	0.236514
0.024264	0.046778	0.072644	0.093789	0.120689	0.141142	0.168411	0.188747	0.215983	0.236414
0.024292	0.046728	0.072717	0.093706	0.120786	0.141042	0.168514	0.188644	0.216083	0.236314
0.024317	0.046681	0.072789	0.093622	0.120881	0.140939	0.168614	0.188542	0.216183	0.236217
0.024344	0.046631	0.072861	0.093536	0.120978	0.140839	0.168717	0.188439	0.216283	0.236117
0.024372	0.046583	0.072936	0.093453	0.121075	0.140739	0.168819	0.188339	0.216383	0.236019
0.024400	0.046533	0.073008	0.093369	0.121172	0.140639	0.168922	0.188236	0.216483	0.235919
0.024428	0.046486	0.073081	0.093286	0.121269	0.140539	0.169025	0.188133	0.216583	0.235819
0.024456	0.046439	0.073156	0.093203	0.121367	0.140439	0.169128	0.188033	0.216683	0.235722
