 Computed angles file for PUMA motor control
 t13_4.tag
 Eval_MLI v4.0
2	// File format
4	// Number of angle
1	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)
0.055556	0.111111	0.166667	0.222222
0.055778	0.110806	0.166917	0.222083
0.055972	0.110528	0.167139	0.221917
0.056194	0.110222	0.167389	0.221778
0.056417	0.109917	0.167639	0.221611
0.056611	0.109611	0.167889	0.221472
0.056833	0.109306	0.168111	0.221333
0.057028	0.109000	0.168361	0.221194
0.057250	0.108694	0.168611	0.221028
0.057444	0.108389	0.168861	0.220889
0.057639	0.108083	0.169111	0.220750
0.057861	0.107778	0.169361	0.220611
0.058056	0.107472	0.169611	0.220472
0.058250	0.107167	0.169861	0.220333
0.058472	0.106861	0.170139	0.220194
0.058667	0.106556	0.170389	0.220083
0.058861	0.106250	0.170639	0.219944
0.059056	0.105917	0.170889	0.219806
0.059250	0.105611	0.171167	0.219667
0.059444	0.105278	0.171417	0.219556
0.059639	0.104972	0.171694	0.219417
0.059833	0.104639	0.171944	0.219306
0.060000	0.104333	0.172222	0.219167
0.060194	0.104000	0.172472	0.219056
0.060389	0.103667	0.172750	0.218944
0.060583	0.103333	0.173028	0.218806
0.060750	0.103028	0.173306	0.218694
0.060944	0.102694	0.173556	0.218583
0.061111	0.102361	0.173833	0.218472
0.061278	0.102000	0.174111	0.218361
0.061472	0.101667	0.174389	0.218250
0.061639	0.101333	0.174694	0.218167
0.061806	0.101000	0.174972	0.218056
0.061972	0.100639	0.175250	0.217944
0.062139	0.100278	0.175528	0.217861
0.062306	0.099944	0.175833	0.217750
0.062472	0.099583	0.176111	0.217667
0.062611	0.099222	0.176417	0.217583
0.062778	0.098861	0.176694	0.217500
0.062917	0.098500	0.177000	0.217417
0.063056	0.098111	0.177306	0.217333
0.063222	0.097750	0.177611	0.217250
0.063361	0.097361	0.177917	0.217167
0.063500	0.097000	0.178222	0.217083
0.063611	0.096611	0.178528	0.217028
0.063750	0.096222	0.178861	0.216944
0.063861	0.095806	0.179167	0.216889
0.064000	0.095417	0.179472	0.216833
0.064111	0.095000	0.179806	0.216778
0.064222	0.094583	0.180139	0.216722
0.064306	0.094167	0.180472	0.216667
0.064417	0.093750	0.180806	0.216611
0.064500	0.093306	0.181139	0.216583
0.064583	0.092861	0.181472	0.216528
0.064667	0.092417	0.181806	0.216500
0.064722	0.091972	0.182167	0.216472
0.064778	0.091500	0.182500	0.216444
0.064833	0.091028	0.182861	0.216417
0.064889	0.090556	0.183222	0.216417
0.064917	0.090056	0.183583	0.216389
0.064917	0.089556	0.183972	0.216389
0.064944	0.089056	0.184333	0.216361
0.064917	0.088528	0.184694	0.216361
0.064917	0.088000	0.185083	0.216389
0.064861	0.087444	0.185472	0.216389
0.064833	0.086889	0.185861	0.216389
0.064750	0.086306	0.186250	0.216417
0.064667	0.085722	0.186667	0.216417
0.064556	0.085111	0.187083	0.216444
0.064444	0.084472	0.187472	0.216472
0.064278	0.083833	0.187889	0.216500
0.064111	0.083167	0.188333	0.216556
0.063917	0.082500	0.188750	0.216583
0.063694	0.081806	0.189194	0.216611
0.063417	0.081083	0.189611	0.216639
0.063139	0.080333	0.190056	0.216694
0.062833	0.079583	0.190500	0.216722
0.062472	0.078806	0.190972	0.216778
0.062083	0.078000	0.191417	0.216806
0.061667	0.077194	0.191889	0.216833
0.061194	0.076361	0.192361	0.216861
0.060722	0.075500	0.192833	0.216889
0.060194	0.074639	0.193306	0.216917
0.059611	0.073750	0.193778	0.216917
0.059028	0.072861	0.194250	0.216944
0.058389	0.071944	0.194750	0.216944
0.057750	0.071028	0.195222	0.216944
0.057056	0.070111	0.195722	0.216944
0.056361	0.069194	0.196222	0.216917
0.055611	0.068278	0.196722	0.216917
0.054861	0.067361	0.197222	0.216889
0.054083	0.066417	0.197722	0.216861
0.053306	0.065500	0.198250	0.216833
0.052500	0.064611	0.198778	0.216833
0.051667	0.063694	0.199306	0.216806
0.050861	0.062806	0.199833	0.216778
0.049972	0.061917	0.200556	0.216889
0.049056	0.061083	0.201444	0.217167
0.048139	0.060222	0.202306	0.217444
0.047222	0.059389	0.203194	0.217722
0.046333	0.058528	0.204056	0.218000
0.045417	0.057667	0.204944	0.218278
0.044500	0.056803	0.205849	0.218525
0.043583	0.055972	0.206694	0.218833
0.042667	0.055139	0.207556	0.219083
0.041750	0.054278	0.208444	0.219361
0.040833	0.053444	0.209306	0.219639
0.039917	0.052583	0.210194	0.219917
0.039000	0.051722	0.211056	0.220194
0.038083	0.050889	0.211944	0.220472
0.037167	0.050028	0.212806	0.220750
0.036250	0.049194	0.213694	0.221000
0.035333	0.048333	0.214583	0.221278
0.034333	0.047444	0.215917	0.222028
0.033111	0.046472	0.218222	0.223694
0.031778	0.045389	0.221139	0.226028
0.030250	0.044167	0.225222	0.229500
0.028417	0.042722	0.231889	0.235556
0.021694	0.035833	0.232861	0.236583
0.021889	0.036056	0.235000	0.238056
0.022056	0.036222	0.237361	0.239778
0.022194	0.036361	0.240000	0.241778
0.022278	0.036389	0.243028	0.244167
0.022278	0.036361	0.246528	0.247056
0.022250	0.036306	0.249056	0.249167
0.022250	0.036306	0.249056	0.249167
0.022250	0.036306	0.249056	0.249167
0.022250	0.036306	0.249056	0.249167
0.022250	0.036306	0.249056	0.249167
