 Computed angles file for PUMA motor control
 t13_5b.tag
 Eval_MLI v4.0
2	// File format
5	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)
0.041478	0.125269	0.167642	0.206706	0.247819
0.041394	0.125464	0.167397	0.206964	0.247819
0.041322	0.125661	0.167156	0.207228	0.247819
0.041247	0.125858	0.166919	0.207494	0.247819
0.041178	0.126056	0.166681	0.207761	0.247819
0.041106	0.126253	0.166442	0.208025	0.247819
0.041033	0.126431	0.166189	0.208292	0.247819
0.040964	0.126631	0.165953	0.208558	0.247819
0.040894	0.126828	0.165717	0.208828	0.247819
0.040817	0.127022	0.165467	0.209083	0.247819
0.040744	0.127217	0.165233	0.209356	0.247819
0.040653	0.127394	0.165028	0.209656	0.247819
0.040558	0.127592	0.164797	0.209925	0.247819
0.040447	0.127792	0.164539	0.210158	0.247819
0.040100	0.127794	0.164208	0.210419	0.247819
0.040083	0.127944	0.164028	0.210611	0.247667
0.039944	0.128167	0.163861	0.210750	0.247500
0.039806	0.128389	0.163694	0.210889	0.247361
0.039611	0.128694	0.163528	0.210917	0.247194
0.039472	0.128889	0.163361	0.211056	0.247028
0.039500	0.128972	0.163167	0.211361	0.246889
0.039944	0.128528	0.162833	0.212083	0.246833
0.039361	0.129278	0.162806	0.211750	0.246611
0.039111	0.129639	0.162667	0.211750	0.246417
0.039000	0.129833	0.162500	0.211889	0.246250
0.038889	0.130028	0.162333	0.212056	0.246111
0.038750	0.130250	0.162167	0.212194	0.245944
0.038583	0.130500	0.162000	0.212306	0.245778
0.038583	0.130583	0.161806	0.212556	0.245639
0.038361	0.130861	0.161667	0.212639	0.245472
0.038250	0.131083	0.161500	0.212778	0.245333
0.038139	0.131278	0.161333	0.212944	0.245167
0.037944	0.131611	0.161278	0.213111	0.245028
0.037833	0.131778	0.161056	0.213194	0.244861
0.037750	0.131944	0.160861	0.213361	0.244694
0.037667	0.132083	0.160667	0.213556	0.244528
0.037528	0.132306	0.160528	0.213694	0.244389
0.037417	0.132528	0.160361	0.213861	0.244222
0.037222	0.132778	0.160222	0.213944	0.244056
