 Computed angles file for PUMA motor control
 t13_7.tag
 Eval_MLI v4.0
2	// File format
7	// Number of angle
0	// first slope : rising(1) falling(0)
ag1(tour)	ag2(tour)	ag3(tour)	ag4(tour)	ag5(tour)	ag6(tour)	ag7(tour)
0.033333	0.066667	0.100000	0.133333	0.166667	0.200000	0.233333
0.033278	0.066750	0.099861	0.133472	0.166528	0.200139	0.233194
0.033222	0.066861	0.099750	0.133611	0.166389	0.200278	0.233056
0.033194	0.066944	0.099611	0.133750	0.166222	0.200417	0.232917
0.033139	0.067056	0.099500	0.133889	0.166083	0.200556	0.232778
0.033083	0.067139	0.099389	0.134028	0.165944	0.200694	0.232639
0.033028	0.067222	0.099250	0.134167	0.165806	0.200833	0.232500
0.032972	0.067333	0.099139	0.134306	0.165667	0.200972	0.232361
0.032944	0.067417	0.099028	0.134444	0.165500	0.201139	0.232222
0.032889	0.067528	0.098889	0.134583	0.165361	0.201250	0.232083
0.032833	0.067611	0.098778	0.134722	0.165222	0.201417	0.231944
0.032778	0.067722	0.098639	0.134861	0.165083	0.201556	0.231806
0.032722	0.067806	0.098528	0.135000	0.164944	0.201694	0.231667
0.032694	0.067889	0.098417	0.135139	0.164806	0.201833	0.231528
0.032639	0.068000	0.098278	0.135278	0.164639	0.201972	0.231389
0.032583	0.068083	0.098167	0.135417	0.164500	0.202111	0.231250
0.032528	0.068194	0.098028	0.135556	0.164361	0.202250	0.231111
0.032500	0.068278	0.097917	0.135722	0.164222	0.202389	0.230972
0.032444	0.068389	0.097806	0.135861	0.164083	0.202528	0.230833
0.032389	0.068472	0.097667	0.136000	0.163944	0.202667	0.230694
0.032361	0.068583	0.097556	0.136139	0.163806	0.202806	0.230556
0.032306	0.068667	0.097444	0.136278	0.163639	0.202944	0.230417
0.032250	0.068778	0.097306	0.136417	0.163500	0.203111	0.230278
0.032194	0.068889	0.097194	0.136556	0.163361	0.203250	0.230139
0.032167	0.068972	0.097083	0.136694	0.163222	0.203389	0.230000
0.032111	0.069083	0.096972	0.136833	0.163083	0.203528	0.229861
0.032056	0.069167	0.096833	0.136972	0.162917	0.203667	0.229722
0.032000	0.069278	0.096722	0.137111	0.162778	0.203806	0.229583
0.031972	0.069361	0.096611	0.137250	0.162639	0.203944	0.229444
0.031917	0.069472	0.096472	0.137417	0.162500	0.204083	0.229306
0.031889	0.069583	0.096361	0.137556	0.162361	0.204222	0.229167
0.031833	0.069667	0.096250	0.137694	0.162222	0.204361	0.229028
0.031778	0.069778	0.096139	0.137833	0.162056	0.204500	0.228889
0.031722	0.069889	0.096000	0.137972	0.161917	0.204639	0.228750
0.031694	0.069972	0.095889	0.138111	0.161778	0.204778	0.228611
0.031639	0.070083	0.095778	0.138250	0.161639	0.204917	0.228472
0.031583	0.070167	0.095639	0.138389	0.161500	0.205056	0.228333
0.031556	0.070278	0.095528	0.138528	0.161361	0.205194	0.228194
0.031500	0.070389	0.095417	0.138667	0.161222	0.205361	0.228056
0.031472	0.070472	0.095306	0.138806	0.161056	0.205500	0.227917
0.031417	0.070583	0.095194	0.138972	0.160917	0.205639	0.227778
0.031361	0.070694	0.095056	0.139111	0.160778	0.205778	0.227639
0.031333	0.070778	0.094944	0.139250	0.160639	0.205917	0.227500
0.031278	0.070889	0.094833	0.139389	0.160500	0.206056	0.227361
0.031222	0.071000	0.094722	0.139528	0.160361	0.206194	0.227222
0.031194	0.071083	0.094611	0.139667	0.160194	0.206333	0.227083
0.031139	0.071194	0.094500	0.139806	0.160056	0.206472	0.226944
0.031111	0.071306	0.094361	0.139972	0.159917	0.206611	0.226778
0.031056	0.071417	0.094250	0.140111	0.159778	0.206750	0.226667
0.031000	0.071500	0.094139	0.140250	0.159639	0.206889	0.226528
0.030972	0.071611	0.094028	0.140389	0.159500	0.207028	0.226361
0.030917	0.071722	0.093917	0.140528	0.159361	0.207167	0.226250
0.030889	0.071833	0.093806	0.140667	0.159194	0.207306	0.226083
0.030833	0.071944	0.093694	0.140806	0.159056	0.207444	0.225944
